Domain;Concept;EnvThes;SWEET;ACTRIS;OZCAR;IOBC;NALT;CHEBI;UNTERM;Earth Sciences;Astronomy;Excotoxicology;Subject (SH);Wikidata;INRAE;GBIF;UBERON;NCIT;CIDO;NPO;ECSO;Checked;comment
extraterrestrial environment;electron;;http://sweetontology.net/matrParticle/Electron;;;;"
https://lod.nal.usda.gov/nalt/36233";http://purl.obolibrary.org/obo/CHEBI_10545;;http://data.loterre.fr/ark:/67375/26L-NFLBPB67-F;;;;https://www.wikidata.org/wiki/Q2225;;;;;;;;TRUE;
atmosphere;air;http://vocabs.lter-europe.net/EnvThes/23;http://sweetontology.net/matr/Air;http://purl.obolibrary.org/obo/ENVO_00002005;https://w3id.org/ozcar-theia/c_d57d0742;;"
https://lod.nal.usda.gov/nalt/5822";;;http://data.loterre.fr/ark:/67375/26L-DNVSH11V-D;;;http://data.loterre.fr/ark:/67375/JLC-T9JC4CLV-H;https://www.wikidata.org/wiki/Q7391292;http://opendata.inrae.fr/thesaurusINRAE/c_4994;;;;;;;TRUE;
atmosphere;cloud;;http://sweetontology.net/phenAtmoCloud/Cloud;https://vocabulary.actris.nilu.no/actris_vocab/cloud;https://w3id.org/ozcar-theia/c_d8deb461;;;;;http://data.loterre.fr/ark:/67375/26L-CMKR6QS2-X;;;http://data.loterre.fr/ark:/67375/JLC-QLH832VH-G;https://www.wikidata.org/wiki/Q8074;http://opendata.inrae.fr/thesaurusINRAE/c_1506;;;;;;;TRUE;
atmosphere;atmospheric boundary layer;http://vocabs.lter-europe.net/EnvThes/21543;http://sweetontology.net/realmAtmoBoundaryLayer/AtmosphericBoundaryLayer;;;;https://lod.nal.usda.gov/nalt/212234;;;;http://data.loterre.fr/ark:/67375/MDL-M8L5FJSH-L;;;;http://opendata.inrae.fr/thesaurusINRAE/c_823;;;;;;;TRUE;
terrestrial ecosystem;organic matter;http://vocabs.lter-europe.net/EnvThes/20887;http://sweetontology.net/realmSoil/OrganicMatter;;;;"
https://lod.nal.usda.gov/nalt/24613";;;;;http://data.loterre.fr/ark:/67375/3WV-NVB554K2-6;;https://www.wikidata.org/wiki/Q1783121;http://opendata.inrae.fr/thesaurusINRAE/c_15730;;;;;;;TRUE;
terrestrial ecosystem;char;;;;;http://purl.jp/bio/4/id/200906050801342950;;;https://unterm.un.org/unterm2/en/view/2bbfce8f-f4c3-4f19-a3d3-587627abbf3e;;;;;;;;;;;;;TRUE;
terrestrial ecosystem;coarse woody debris;;;;;;https://lod.nal.usda.gov/nalt/104904;;;;;;;https://www.wikidata.org/wiki/Q2069734;;;;;;;;TRUE;
terrestrial ecosystem;foliage;http://vocabs.lter-europe.net/EnvThes/20575;;;https://w3id.org/ozcar-theia/c_5c98b4bc;;"
https://lod.nal.usda.gov/nalt/28537";;;;;;http://data.loterre.fr/ark:/67375/JLC-P9DPHJWN-M;https://www.wikidata.org/wiki/Q18250160;http://opendata.inrae.fr/thesaurusINRAE/c_7454;;;;;;;TRUE;
geology;horizontal plane;;;;;;;;;;;;;https://www.wikidata.org/wiki/Q1055798;;;;;;;;TRUE;
biodiversity;habitat;http://vocabs.lter-europe.net/EnvThes/21894;http://sweetontology.net/stateRoleBiological/Habitat;;;;"
https://lod.nal.usda.gov/nalt/11506";;;http://data.loterre.fr/ark:/67375/26L-N7KWV4HB-Q;;http://data.loterre.fr/ark:/67375/3WV-MD5ZV6H7-P;;https://www.wikidata.org/wiki/Q52105;http://opendata.inrae.fr/thesaurusINRAE/c_6088;;;;;;;TRUE;
biodiversity;enclosure;;;;;;;;;;;http://data.loterre.fr/ark:/67375/3WV-B6V0SD2Q-2;;;http://opendata.inrae.fr/thesaurusINRAE/c_1152;;;;;;;TRUE;"INRAE does not describe the concept, and its context (as defined under 'egrigultural machinery and equipment') seems more specific then near-matching concepts from other vocabularies. If we were to assume a broad definition, there are some exact matches: NCIT https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C133237, Wikidata https://www.wikidata.org/wiki/Q5375483, 
Ecotoxicology https://loterre.istex.fr/3WV/fr/page/-B6V0SD2Q-2?clang=en"
biodiversity;foraminifera;;http://sweetontology.net/matrMicrobiota/Foraminifer;;;;https://lod.nal.usda.gov/nalt/283312;;;http://data.loterre.fr/ark:/67375/26L-P025HW6L-N;;;;https://www.wikidata.org/wiki/Q107027;http://opendata.inrae.fr/thesaurusINRAE/c_15776;https://www.gbif.org/species/8376456;;;;;;TRUE;The concepts have exact matches, but parent / child clasifications contain some differences. (most notably for NALT)
chemistry;oxygen;http://vocabs.lter-europe.net/EnvThes/20850;;;https://w3id.org/ozcar-theia/c_a54bce82;;https://lod.nal.usda.gov/nalt/8381;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI%3A25806;https://unterm.un.org/unterm2/en/view/352bdfd1-9f01-4b19-a4e7-8734f503bc2b;http://data.loterre.fr/ark:/67375/26L-P7X4Q71B-G;;http://data.loterre.fr/ark:/67375/3WV-MTBDGR3C-G;;https://www.wikidata.org/wiki/Q629;http://opendata.inrae.fr/thesaurusINRAE/c_15776;;;http://purl.obolibrary.org/obo/NCIT_C722;;https://bioportal.bioontology.org/ontologies/NPO/?p=classes&lang=en&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2Fnpo%23NPO_615;;TRUE;"There is a very specific difference between elemental and atomic oxigen (the former is described by EnvThes and is what exact matches were found for). Uberon and CIDO use the imported term from CHeBI; https://www.ebi.ac.uk/ols4/ontologies/uberon/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCHEBI_25806, https://ontobee.org/ontology/CIDO?iri=http://purl.obolibrary.org/obo/CHEBI_25806"
chemistry;carbon;;;https://vocabulary.actris.nilu.no/actris_vocab/carbon;https://w3id.org/ozcar-theia/c_a36fd4ae;;"
https://lod.nal.usda.gov/nalt/3913";https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27594;;http://data.loterre.fr/ark:/67375/26L-ZH98N8JH-L;;http://data.loterre.fr/ark:/67375/3WV-RCR719Z1-Q;http://data.loterre.fr/ark:/67375/JLC-MH164WNR-D;https://www.wikidata.org/wiki/Q866179;http://opendata.inrae.fr/thesaurusINRAE/c_15715;;;;;https://bioportal.bioontology.org/ontologies/NPO/?p=classes&lang=en&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2Fnpo%23NPO_877;;TRUE;There is a very specific difference between elemental and atomic carbon (the later was referred to by CHeBI and is what exact matches were found for). UBERON and CIDO use the imported term from CHeBI: https://www.ebi.ac.uk/ols4/ontologies/uberon/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCHEBI_27594, https://www.ebi.ac.uk/ols4/ontologies/cido/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCHEBI_27594
health;blood;;;;;;https://lod.nal.usda.gov/nalt/18059;;https://unterm.un.org/unterm2/en/view/239a8132-def3-4e06-ba6f-e6eafd7cda3f;;;http://data.loterre.fr/ark:/67375/3WV-F79P2JVJ-G;http://data.loterre.fr/ark:/67375/JLC-P1FB0T2L-N;https://www.wikidata.org/wiki/Q7873;http://opendata.inrae.fr/thesaurusINRAE/c_9607;;http://purl.obolibrary.org/obo/UBERON_0000178;http://purl.obolibrary.org/obo/NCIT_C12434;;;;TRUE;CIDO uses the imported term from UBERON: https://ontobee.org/ontology/CIDO?iri=http://purl.obolibrary.org/obo/UBERON_0000178
