Domain,variable reference,Concept,QUDT,UoM,EnvThes,ACTRIS,GCMD,OBOE,Earth Science,Astronomy,NALT,OZCAR,NCIT,Wikidata,IOBC
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C1_ElectronDensity.ttl.html,number density,http://qudt.org/vocab/quantitykind/NumberDensity,,,,,,,,,https://w3id.org/ozcar-theia/c_d22f1d3d,,https://www.wikidata.org/wiki/Q108914962,
atmosphere,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C2_AirDailyMaximumTemperature.ttl.html,temperature,http://qudt.org/vocab/quantitykind/Temperature,http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature,http://vocabs.lter-europe.net/EnvThes/21524,https://vocabulary.actris.nilu.no/actris_vocab/temperature,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Temperature,http://data.loterre.fr/ark:/67375/26L-X7QTG8XN-Q,,,https://w3id.org/ozcar-theia/c_650214c2,,https://www.wikidata.org/wiki/Q11466,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C3_CloudCover.ttl.html,area fraction,,http://www.ontology-of-units-of-measure.org/resource/om-2/AreaFraction,,https://vocabulary.actris.nilu.no/actris_vocab/areafraction,,,,,,,,,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C4_ABLHeight.ttl.html,height,http://qudt.org/vocab/quantitykind/Height,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,http://vocabs.lter-europe.net/EnvThes/21555,https://vocabulary.actris.nilu.no/actris_vocab/height,,,,,,https://w3id.org/ozcar-theia/c_8d808f3c,,https://www.wikidata.org/wiki/Q208826,
extraterrestrial environment,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C5_OpticalThickness.ttl.html,optical depth,,https://gcmd.earthdata.nasa.gov/kms/concept/61c3b720-abc8-4430-866c-f1da35d2cd0b,,https://vocabulary.actris.nilu.no/actris_vocab/opticaldepth,https://gcmd.earthdata.nasa.gov/kms/concept/61c3b720-abc8-4430-866c-f1da35d2cd0b,,,,,,,https://www.wikidata.org/wiki/Q890809,
chemistry,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C6_MassFlux.ttl.html,mass flux,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MassFlux,,https://vocabulary.actris.nilu.no/actris_vocab/massflux,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MassFlux,,,,https://w3id.org/ozcar-theia/c_bd34d682,,https://www.wikidata.org/wiki/Q3265048,
solid earth,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C10_PeakGroundAcceleration.ttl.html,acceleration,https://qudt.org/vocab/quantitykind/Acceleration,,,,,,http://data.loterre.fr/ark:/67375/26L-F1CH42LX-B,,,,,https://www.wikidata.org/wiki/Q11376,
extraterrestrial environment,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C11_StrikeBedding.ttl.html,azimuth,http://qudt.org/vocab/quantitykind/Azimuth,http://www.ontology-of-units-of-measure.org/resource/om-2/Azimuth,,,,,,http://data.loterre.fr/ark:/67375/MDL-T09SFQQJ-W,,https://w3id.org/ozcar-theia/c_e3e3d827,,https://www.wikidata.org/wiki/Q124274,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C12_HabitatProbability.ttl.html,probabilty,,,http://vocabs.lter-europe.net/EnvThes/10144,,,,http://data.loterre.fr/ark:/67375/26L-QWTLZRNJ-S,,https://lod.nal.usda.gov/nalt/137027,,,https://www.wikidata.org/wiki/Q9492,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C14_FeralfreeEnclosureArea.ttl.html,area,http://qudt.org/vocab/quantitykind/Area,,http://vocabs.lter-europe.net/EnvThes/21533,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Area,,,,,,https://www.wikidata.org/wiki/Q11500,
chemistry,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C19_CarbonRate.ttl.html,mass flow rate,http://qudt.org/vocab/quantitykind/MassFlowRate,,,,,,,,,,,https://www.wikidata.org/wiki/Q1366187,
chemistry,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C17_DHAMassFraction.ttl.html,mass fraction,http://qudt.org/vocab/quantitykind/MassFraction,,,https://vocabulary.actris.nilu.no/actris_vocab/massfraction,,,,,,https://w3id.org/ozcar-theia/c_7f8e1147,,https://www.wikidata.org/wiki/Q899138,
toxicity,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C17_DHAMassFraction.ttl.html,mass per area,http://qudt.org/vocab/quantitykind/MassPerArea,,,,,,,,,,,,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C13_DistanceHabitatPatch.ttl.html,distance,https://qudt.org/vocab/quantitykind/Distance,,http://vocabs.lter-europe.net/EnvThes/21550,,,,,,,https://w3id.org/ozcar-theia/c_255c3a32,,https://www.wikidata.org/wiki/Q126017,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C21_BloodPressure.ttl.html,pressure,http://qudt.org/vocab/quantitykind/Pressure,,http://vocabs.lter-europe.net/EnvThes/21557,https://vocabulary.actris.nilu.no/actris_vocab/pressure,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Pressure,http://data.loterre.fr/ark:/67375/26L-ZQLT4VZZ-X,,,https://w3id.org/ozcar-theia/c_4629ad08,,https://www.wikidata.org/wiki/Q39552,
health,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C22_SmokingStatus.ttl.html,smoking status,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C19796,,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C24_NanoparticleCount.ttl.html,areal number density,,,,,,,,,,,,https://www.wikidata.org/wiki/Q108914965,
material science,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C25_PolystyreneViscosity.ttl.html,shear viscosity,,,,,,,,,,,,,http://purl.jp/bio/4/id/200906084861039558
material science,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C26_GoldSheetResistance.ttl.html,sheet restistance,,,,,,,,,,,,https://www.wikidata.org/wiki/Q354718,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C27_IsobutyleneConcentration.ttl.html,mass concentration,http://qudt.org/vocab/quantitykind/MassConcentration,,,https://vocabulary.actris.nilu.no/actris_vocab/massconcentration,,,,,,https://w3id.org/ozcar-theia/c_012a8814,,https://www.wikidata.org/wiki/Q589446,
cross-domain,https://mabablue.github.io/I-ADOPT-examples-playground/Challenge/C28_CountOvernightstay.ttl.html,count,https://qudt.org/vocab/quantitykind/Count,,http://vocabs.lter-europe.net/EnvThes/21548,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Count,,,,,,,
