model_id,provider,prompt,shots,temperature,reasoning,close_precision,close_recall,close_f1,exact_precision,exact_recall,exact_f1
z-ai/glm-5.2,openrouter,matrix-decomposition,5,0.5,enabled,0.3335,0.5694,0.4206,0.2735,0.5176,0.3579
z-ai/glm-5.2,openrouter,matrix-decomposition,5,1,enabled,0.3281,0.5451,0.4097,0.2729,0.4973,0.3524
z-ai/glm-5.2,openrouter,strict-minimal,5,1,enabled,0.3185,0.5298,0.3978,0.2439,0.4608,0.3190
z-ai/glm-5.2,openrouter,matrix-decomposition,3,1,enabled,0.3167,0.5350,0.3978,0.2569,0.4803,0.3348
z-ai/glm-5.2,openrouter,matrix-decomposition,3,0.5,enabled,0.3118,0.5289,0.3923,0.2504,0.4722,0.3273
Qwen3.8-27B,psnc,matrix-decomposition,5,0.5,disabled,0.3073,0.5382,0.3912,0.2481,0.4817,0.3275
DeepSeek-V4-Flash,psnc,matrix-decomposition,5,0.5,not_applicable,0.3232,0.4914,0.3899,0.2736,0.4454,0.3390
DeepSeek-V4-Flash,psnc,matrix-decomposition,5,0,not_applicable,0.3179,0.4948,0.3871,0.2588,0.4391,0.3257
Qwen3.8-27B,psnc,matrix-decomposition,5,0,disabled,0.2984,0.5417,0.3848,0.2441,0.4903,0.3260
Qwen3.8-27B,psnc,constraint-decomposition,5,0.5,disabled,0.2973,0.5345,0.3821,0.2526,0.4919,0.3338
z-ai/glm-5.2,openrouter,constraint-decomposition,5,1,enabled,0.3004,0.5093,0.3779,0.2461,0.4572,0.3199
GLM-5.2,psnc,matrix-decomposition,5,0,disabled,0.2923,0.5237,0.3752,0.2342,0.4653,0.3115
Qwen3.8-27B,psnc,strict-minimal,5,0,disabled,0.2922,0.5232,0.3750,0.2388,0.4709,0.3169
GLM-5.2,psnc,matrix-decomposition,5,1,disabled,0.2976,0.5046,0.3744,0.2520,0.4600,0.3256
GLM-5.2,psnc,matrix-decomposition,3,0.5,disabled,0.2898,0.5213,0.3725,0.2340,0.4654,0.3114
Qwen3.8-27B,psnc,matrix-decomposition,3,0,disabled,0.2897,0.5185,0.3717,0.2429,0.4733,0.3210
Qwen3.8-27B,psnc,matrix-decomposition,3,0.5,disabled,0.2936,0.5053,0.3714,0.2353,0.4472,0.3084
DeepSeek-V4-Flash,psnc,matrix-decomposition,5,1,not_applicable,0.3028,0.4798,0.3713,0.2437,0.4227,0.3092
qwen/qwen3-32b,openrouter,constraint-decomposition,3,0,disabled,0.2987,0.4888,0.3708,0.2426,0.4342,0.3113
GLM-5.2,psnc,matrix-decomposition,5,0.5,disabled,0.2878,0.5165,0.3696,0.2358,0.4643,0.3127
GLM-5.2,psnc,matrix-decomposition,3,0,disabled,0.2876,0.5090,0.3676,0.2425,0.4639,0.3185
z-ai/glm-5.2,openrouter,strict-minimal,5,0.5,enabled,0.2872,0.5039,0.3658,0.2317,0.4480,0.3054
Qwen3.8-27B,psnc,constraint-decomposition,3,0.5,disabled,0.2844,0.5109,0.3654,0.2344,0.4614,0.3109
Qwen3.8-27B,psnc,constraint-decomposition,3,0,disabled,0.2831,0.5150,0.3653,0.2309,0.4623,0.3080
qwen/qwen3-32b,openrouter,matrix-decomposition,5,1,disabled,0.2924,0.4856,0.3650,0.2399,0.4341,0.3090
z-ai/glm-5.2,openrouter,strict-minimal,3,1,enabled,0.2851,0.5060,0.3647,0.2274,0.4472,0.3015
Qwen3.8-27B,psnc,matrix-decomposition,5,1,disabled,0.2869,0.4972,0.3639,0.2473,0.4578,0.3211
Qwen3.8-27B,psnc,constraint-decomposition,5,0,disabled,0.2798,0.5183,0.3635,0.2307,0.4682,0.3090
qwen/qwen3-32b,openrouter,matrix-decomposition,3,1,disabled,0.2904,0.4857,0.3634,0.2356,0.4321,0.3049
Qwen3.8-27B,psnc,strict-minimal,5,0.5,disabled,0.2782,0.5186,0.3622,0.2388,0.4791,0.3187
qwen/qwen3-32b,openrouter,strict-minimal,3,1,enabled,0.2871,0.4891,0.3618,0.2361,0.4369,0.3065
DeepSeek-V4-Flash,psnc,matrix-decomposition,3,1,not_applicable,0.2977,0.4603,0.3616,0.2334,0.3948,0.2934
qwen/qwen3-8b,openrouter,constraint-decomposition,5,1,disabled,0.2887,0.4837,0.3616,0.2407,0.4346,0.3098
Qwen3.8-27B,psnc,strict-minimal,3,0,disabled,0.2811,0.5064,0.3615,0.2310,0.4550,0.3064
qwen/qwen3-32b,openrouter,matrix-decomposition,5,0.5,disabled,0.2946,0.4678,0.3615,0.2511,0.4255,0.3159
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,5,0,not_applicable,0.3019,0.4504,0.3615,0.2625,0.4161,0.3219
qwen/qwen3-32b,openrouter,matrix-decomposition,3,0.5,disabled,0.2897,0.4800,0.3613,0.2434,0.4345,0.3120
qwen/qwen3-32b,openrouter,matrix-decomposition,5,0,disabled,0.2829,0.4923,0.3593,0.2311,0.4396,0.3029
qwen/qwen3-32b,openrouter,matrix-decomposition,3,0,disabled,0.2840,0.4842,0.3580,0.2289,0.4283,0.2983
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,5,0.5,not_applicable,0.2991,0.4453,0.3579,0.2585,0.4096,0.3170
GLM-5.2,psnc,constraint-decomposition,3,0,disabled,0.2704,0.5269,0.3574,0.2188,0.4671,0.2980
z-ai/glm-5.2,openrouter,constraint-decomposition,3,0.5,enabled,0.2751,0.5067,0.3566,0.2200,0.4485,0.2952
qwen/qwen3-32b,openrouter,constraint-decomposition,3,1,disabled,0.2863,0.4727,0.3566,0.2346,0.4202,0.3011
Qwen3.8-27B,psnc,strict-minimal,3,0.5,disabled,0.2762,0.5010,0.3561,0.2315,0.4540,0.3067
qwen/qwen3-32b,openrouter,strict-minimal,3,0,disabled,0.2952,0.4484,0.3560,0.2489,0.4008,0.3071
qwen/qwen3-32b,openrouter,strict-minimal,3,0.5,disabled,0.2903,0.4595,0.3558,0.2422,0.4112,0.3048
qwen/qwen3-8b,openrouter,matrix-decomposition,5,1,disabled,0.2906,0.4582,0.3556,0.2529,0.4228,0.3165
Qwen3.8-27B,psnc,matrix-decomposition,3,1,disabled,0.2809,0.4817,0.3549,0.2317,0.4311,0.3014
DeepSeek-V4-Flash,psnc,matrix-decomposition,3,0,not_applicable,0.2989,0.4362,0.3547,0.2328,0.3719,0.2864
qwen/qwen3-32b,openrouter,constraint-decomposition,3,0.5,disabled,0.2797,0.4832,0.3543,0.2286,0.4292,0.2983
qwen/qwen3-32b,openrouter,matrix-decomposition,5,0.5,enabled,0.2758,0.4893,0.3528,0.2080,0.4171,0.2776
qwen/qwen3-32b,openrouter,constraint-decomposition,5,0.5,enabled,0.2714,0.4999,0.3518,0.2182,0.4419,0.2922
qwen/qwen3-32b,openrouter,matrix-decomposition,3,0.5,enabled,0.2742,0.4892,0.3514,0.2256,0.4389,0.2981
GLM-5.2,psnc,matrix-decomposition,3,1,disabled,0.2689,0.5071,0.3514,0.2161,0.4496,0.2919
DeepSeek-V4-Flash,psnc,strict-minimal,5,1,not_applicable,0.2885,0.4450,0.3500,0.2390,0.3970,0.2984
GLM-5.2,psnc,constraint-decomposition,5,0,disabled,0.2724,0.4887,0.3498,0.2284,0.4431,0.3015
qwen/qwen3-32b,openrouter,strict-minimal,3,1,disabled,0.2895,0.4405,0.3494,0.2273,0.3780,0.2839
GLM-5.2,psnc,constraint-decomposition,3,1,disabled,0.2728,0.4851,0.3492,0.2269,0.4359,0.2984
qwen/qwen3-32b,openrouter,constraint-decomposition,5,0,disabled,0.2776,0.4670,0.3482,0.2261,0.4131,0.2923
GLM-5.2,psnc,constraint-decomposition,5,0.5,disabled,0.2676,0.4919,0.3466,0.2247,0.4443,0.2985
z-ai/glm-5.2,openrouter,constraint-decomposition,3,1,enabled,0.2652,0.4985,0.3463,0.2129,0.4413,0.2872
qwen/qwen3-32b,openrouter,strict-minimal,5,0.5,disabled,0.2848,0.4388,0.3454,0.2401,0.3957,0.2989
qwen/qwen3-32b,openrouter,strict-minimal,5,0,disabled,0.2846,0.4383,0.3451,0.2251,0.3775,0.2821
qwen/qwen3-32b,openrouter,strict-minimal,5,1,disabled,0.2857,0.4344,0.3447,0.2349,0.3845,0.2917
GLM-5.2,psnc,constraint-decomposition,3,0.5,disabled,0.2616,0.4999,0.3434,0.2108,0.4419,0.2854
qwen/qwen3-32b,openrouter,strict-minimal,5,0,enabled,0.2685,0.4664,0.3408,0.2199,0.4149,0.2874
qwen/qwen3-32b,openrouter,constraint-decomposition,3,0,enabled,0.2585,0.5000,0.3408,0.2048,0.4395,0.2794
qwen/qwen3-32b,openrouter,constraint-decomposition,5,0.5,disabled,0.2644,0.4770,0.3402,0.2128,0.4198,0.2825
DeepSeek-V4-Flash,psnc,matrix-decomposition,3,0.5,not_applicable,0.2758,0.4425,0.3398,0.2171,0.3796,0.2763
z-ai/glm-5.2,openrouter,matrix-decomposition,1,1,enabled,0.2618,0.4836,0.3397,0.1910,0.4021,0.2589
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,5,0.5,not_applicable,0.2787,0.4322,0.3389,0.2368,0.3907,0.2949
z-ai/glm-5.2,openrouter,strict-minimal,3,0.5,enabled,0.2647,0.4670,0.3378,0.2165,0.4152,0.2846
DeepSeek-V4-Flash,psnc,strict-minimal,5,0,not_applicable,0.2788,0.4275,0.3375,0.2154,0.3638,0.2706
Qwen3.8-27B,psnc,strict-minimal,3,1,disabled,0.2666,0.4587,0.3372,0.2231,0.4133,0.2898
DeepSeek-V4-Flash,psnc,strict-minimal,5,0.5,not_applicable,0.2747,0.4352,0.3368,0.2254,0.3853,0.2844
GLM-5.2,psnc,strict-minimal,5,0.5,disabled,0.2522,0.5053,0.3365,0.2018,0.4465,0.2780
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,3,0,not_applicable,0.2770,0.4274,0.3362,0.2281,0.3797,0.2850
qwen/qwen3-32b,openrouter,constraint-decomposition,5,1,disabled,0.2665,0.4527,0.3355,0.2103,0.3922,0.2738
GLM-5.2,psnc,strict-minimal,5,0,disabled,0.2554,0.4858,0.3348,0.2073,0.4298,0.2797
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,5,1,not_applicable,0.2722,0.4269,0.3324,0.2306,0.3849,0.2884
GLM-5.2,psnc,strict-minimal,5,1,disabled,0.2642,0.4478,0.3324,0.2210,0.4016,0.2851
qwen/qwen3-32b,openrouter,matrix-decomposition,3,0,enabled,0.2606,0.4534,0.3310,0.2026,0.3894,0.2665
